0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
6,5,5.0,5.0,5.0,5.0,5.0,7.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,
6,6,6.0,4.0,2.0,2.0,2.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,
6,6,4.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,
3,3,3.0,3.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
3,3,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
6,6,4.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
6,6,6.0,4.0,2.0,7.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,
6,6,6.0,6.0,6.0,6.0,4.0,2.0,2.0,2.0,7.0,2.0,2.0,,,,,,,,,,,,,,,,,,
6,6,6.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,
5,5,5.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
5,5,5.0,5.0,5.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,,,,,,,,,,,,,,,,,,,
6,6,4.0,4.0,4.0,2.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
6,4,4.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
3,3,1.0,1.0,1.0,1.0,1.0,1.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,
6,4,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
6,6,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,7.0,,,,,,,,,,,,,,,,,,
3,3,3.0,3.0,3.0,5.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,
3,3,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,7.0,,,,,,,,,,,,,,,,,,,
6,6,4.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,
3,3,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,6.0,4.0,2.0,2.0,2.0,2.0,7.0,,,,,,,,,,,,,,,,,,,,,,
6,4,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
3,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
3,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,,,,,,,,,,,,,,,,,,,,
3,3,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
6,4,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,,,,,,,,,,,
6,6,6.0,4.0,2.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,,,,,,,,,,,,,,,,
5,5,5.0,6.0,6.0,4.0,4.0,2.0,2.0,2.0,7.0,7.0,7.0,7.0,7.0,7.0,,,,,,,,,,,,,,,
6,6,4.0,4.0,4.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,
3,3,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
5,5,5.0,5.0,5.0,5.0,5.0,7.0,7.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,
6,6,6.0,4.0,4.0,2.0,2.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,
3,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
5,5,5.0,5.0,5.0,7.0,7.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,
3,3,3.0,3.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
5,5,5.0,5.0,5.0,5.0,5.0,7.0,7.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,
3,3,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
3,3,3.0,3.0,3.0,3.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
6,6,4.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
5,5,5.0,5.0,5.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,,,,,,,,,,,,,,,
6,6,6.0,4.0,2.0,2.0,2.0,2.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,
3,6,4.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
5,5,5.0,5.0,5.0,5.0,5.0,5.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,
3,3,3.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,7.0,7.0,,,,,,,,,,,,,,,,,,,
3,3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
6,4,4.0,4.0,4.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
5,5,5.0,5.0,5.0,5.0,7.0,7.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,
5,5,5.0,5.0,5.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,,,,,,,,,,,,,,,,
6,4,4.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,7.0,7.0,7.0,,,,,,,,,,,,,,,,,,
3,3,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
6,6,4.0,4.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
6,6,4.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,
5,5,5.0,5.0,5.0,5.0,5.0,5.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,
6,4,4.0,4.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
6,6,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
3,3,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
6,6,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,
3,5,6.0,4.0,2.0,2.0,2.0,2.0,2.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,,,,,,,,,,,,,,
6,6,4.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
6,4,4.0,4.0,4.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
6,6,4.0,4.0,2.0,7.0,7.0,7.0,7.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,
6,4,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
6,6,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
6,6,5.0,5.0,7.0,7.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,
6,6,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,
