0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
6,6,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,7.0,7.0,,,,,,,,,,,,,,,,,,,
10,10,12.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,
8,8,8.0,8.0,8.0,13.0,13.0,13.0,13.0,,,,,,,,,,,,,,,,,,,,,,
8,8,8.0,13.0,7.0,13.0,13.0,13.0,,,,,,,,,,,,,,,,,,,,,,,
10,10,12.0,12.0,12.0,5.0,5.0,5.0,9.0,,,,,,,,,,,,,,,,,,,,,,
10,10,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
6,6,6.0,6.0,6.0,11.0,11.0,4.0,4.0,4.0,4.0,7.0,,,,,,,,,,,,,,,,,,,
10,10,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10,10.0,10.0,10.0,1.0,1.0,9.0,,,,,,,,,,,,,,,,,,,,,,,
6,6,6.0,6.0,6.0,11.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,
10,1,1.0,1.0,9.0,9.0,9.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
10,10,12.0,12.0,5.0,5.0,5.0,5.0,9.0,9.0,9.0,,,,,,,,,,,,,,,,,,,,
8,8,8.0,8.0,8.0,13.0,13.0,13.0,13.0,,,,,,,,,,,,,,,,,,,,,,
6,6,6.0,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,
14,14,14.0,3.0,3.0,3.0,7.0,7.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,
6,6,6.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,
14,14,14.0,8.0,3.0,3.0,7.0,7.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,
6,6,6.0,6.0,11.0,11.0,11.0,14.0,6.0,,,,,,,,,,,,,,,,,,,,,,
