0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
5,5,9.0,9.0,9.0,15.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,
5,5,5.0,5.0,11.0,11.0,11.0,11.0,15.0,12.0,6.0,,,,,,,,,,,,,,,,,,,,
5,5,5.0,9.0,9.0,9.0,15.0,15.0,15.0,,,,,,,,,,,,,,,,,,,,,,
0,0,0.0,0.0,0.0,7.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,
0,0,15.0,15.0,11.0,11.0,11.0,11.0,15.0,15.0,,,,,,,,,,,,,,,,,,,,,
5,5,5.0,5.0,5.0,5.0,14.0,11.0,11.0,11.0,6.0,6.0,2.0,2.0,2.0,2.0,2.0,15.0,15.0,,,,,,,,,,,,
0,0,0.0,15.0,11.0,11.0,15.0,15.0,11.0,11.0,11.0,,,,,,,,,,,,,,,,,,,,
5,5,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,1.0,1.0,1.0,1.0,1.0,1.0,14.0,10.0,,,,,,,,,,,,,,,,,,,,,
0,0,0.0,15.0,15.0,15.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,
5,5,2.0,2.0,6.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,
5,5,5.0,11.0,11.0,11.0,11.0,15.0,15.0,,,,,,,,,,,,,,,,,,,,,,
5,5,5.0,0.0,14.0,15.0,15.0,15.0,15.0,15.0,15.0,,,,,,,,,,,,,,,,,,,,
5,5,10.0,10.0,6.0,4.0,4.0,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,
0,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,5.0,5.0,9.0,9.0,15.0,15.0,,,,,,,,,,,,,,,,,,,,,,,
2,11,15.0,15.0,15.0,15.0,15.0,15.0,,,,,,,,,,,,,,,,,,,,,,,
0,0,0.0,14.0,14.0,14.0,14.0,12.0,12.0,6.0,,,,,,,,,,,,,,,,,,,,,
5,5,5.0,5.0,8.0,8.0,8.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,
5,10,10.0,13.0,3.0,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,
2,2,2.0,11.0,11.0,11.0,15.0,15.0,15.0,15.0,15.0,15.0,,,,,,,,,,,,,,,,,,,
5,5,12.0,12.0,12.0,12.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,
5,5,1.0,1.0,1.0,1.0,8.0,11.0,11.0,11.0,,,,,,,,,,,,,,,,,,,,,
5,5,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,
5,5,5.0,1.0,11.0,15.0,15.0,15.0,14.0,15.0,,,,,,,,,,,,,,,,,,,,,
5,5,9.0,7.0,7.0,7.0,15.0,15.0,,,,,,,,,,,,,,,,,,,,,,,
5,5,5.0,5.0,5.0,9.0,7.0,7.0,15.0,11.0,6.0,12.0,12.0,12.0,6.0,6.0,,,,,,,,,,,,,,,
5,5,5.0,5.0,9.0,9.0,9.0,9.0,7.0,6.0,,,,,,,,,,,,,,,,,,,,,
0,15,15.0,0.0,0.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,5.0,,,,,,,,,,,,,,,,,,
5,5,5.0,9.0,9.0,9.0,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,,
5,5,5.0,15.0,15.0,15.0,15.0,15.0,15.0,,,,,,,,,,,,,,,,,,,,,,
5,5,9.0,9.0,15.0,15.0,15.0,15.0,15.0,15.0,12.0,12.0,,,,,,,,,,,,,,,,,,,
5,5,5.0,2.0,2.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0.0,14.0,14.0,14.0,14.0,14.0,15.0,15.0,,,,,,,,,,,,,,,,,,,,,
5,5,9.0,9.0,9.0,9.0,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,,
5,5,5.0,11.0,11.0,11.0,11.0,15.0,5.0,,,,,,,,,,,,,,,,,,,,,,
5,10,10.0,4.0,0.0,14.0,15.0,15.0,15.0,,,,,,,,,,,,,,,,,,,,,,
5,5,5.0,5.0,9.0,3.0,3.0,3.0,12.0,3.0,,,,,,,,,,,,,,,,,,,,,
5,5,1.0,1.0,1.0,1.0,14.0,14.0,,,,,,,,,,,,,,,,,,,,,,,
0,0,0.0,14.0,14.0,14.0,14.0,14.0,14.0,15.0,12.0,12.0,,,,,,,,,,,,,,,,,,,
0,0,3.0,3.0,14.0,14.0,14.0,14.0,15.0,,,,,,,,,,,,,,,,,,,,,,
3,3,13.0,9.0,15.0,15.0,15.0,15.0,,,,,,,,,,,,,,,,,,,,,,,
0,15,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,,,,,,,,,,,,,,,
5,5,5.0,5.0,8.0,8.0,8.0,8.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,,
5,10,10.0,10.0,15.0,15.0,15.0,15.0,14.0,14.0,14.0,,,,,,,,,,,,,,,,,,,,
5,5,5.0,5.0,5.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,,,,,,,,,,,,,,,,,,
5,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
5,5,11.0,11.0,15.0,14.0,14.0,14.0,11.0,15.0,15.0,,,,,,,,,,,,,,,,,,,,
5,5,9.0,7.0,7.0,7.0,9.0,9.0,7.0,,,,,,,,,,,,,,,,,,,,,,
5,5,5.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,13.0,15.0,15.0,15.0,15.0,,,,,,,,,,,,,,,
0,0,0.0,15.0,15.0,15.0,15.0,15.0,,,,,,,,,,,,,,,,,,,,,,,
0,0,0.0,0.0,14.0,14.0,15.0,15.0,15.0,15.0,15.0,5.0,0.0,15.0,15.0,,,,,,,,,,,,,,,,
5,5,5.0,5.0,5.0,5.0,9.0,7.0,7.0,15.0,15.0,15.0,2.0,,,,,,,,,,,,,,,,,,
0,0,0.0,0.0,15.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,5.0,5.0,11.0,11.0,11.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,,,,,,,,,,,,,,,,,
5,5,5.0,0.0,15.0,15.0,15.0,15.0,,,,,,,,,,,,,,,,,,,,,,,
5,5,5.0,5.0,5.0,5.0,9.0,9.0,6.0,6.0,6.0,6.0,4.0,4.0,,,,,,,,,,,,,,,,,
5,5,9.0,9.0,9.0,7.0,7.0,9.0,9.0,9.0,7.0,,,,,,,,,,,,,,,,,,,,
3,13,13.0,13.0,13.0,14.0,14.0,11.0,11.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,
0,0,14.0,15.0,12.0,12.0,12.0,6.0,12.0,12.0,12.0,12.0,6.0,,,,,,,,,,,,,,,,,,
2,8,8.0,8.0,3.0,12.0,12.0,12.0,12.0,12.0,12.0,,,,,,,,,,,,,,,,,,,,
5,5,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,13,13.0,13.0,13.0,12.0,12.0,3.0,13.0,13.0,15.0,15.0,15.0,,,,,,,,,,,,,,,,,,
5,5,5.0,9.0,7.0,15.0,15.0,15.0,15.0,15.0,15.0,,,,,,,,,,,,,,,,,,,,
5,5,5.0,9.0,9.0,9.0,15.0,12.0,12.0,,,,,,,,,,,,,,,,,,,,,,
5,5,5.0,5.0,9.0,9.0,9.0,15.0,15.0,15.0,15.0,,,,,,,,,,,,,,,,,,,,
5,5,5.0,5.0,5.0,5.0,5.0,9.0,10.0,10.0,10.0,10.0,10.0,15.0,,,,,,,,,,,,,,,,,
5,5,5.0,11.0,15.0,11.0,11.0,11.0,11.0,10.0,,,,,,,,,,,,,,,,,,,,,
5,5,6.0,10.0,15.0,15.0,15.0,15.0,,,,,,,,,,,,,,,,,,,,,,,
