0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161
15,15,5,10,10,10,14,14,14,14,14,14,14,14,14,14,14,14,14,6,6,8,15,15,15,6,6,6,6,6,6,6,6,6,6,6,6,6,6,9,9,12,12,0,0,0,0,4,4,4,4,4,4,4,11.0,12.0,0.0,2.0,2.0,15.0,15.0,15.0,5.0,10.0,10.0,10.0,10.0,12.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,15.0,9.0,2.0,2.0,2.0,4.0,4.0,7.0,7.0,4.0,4.0,4.0,11.0,3.0,3.0,3.0,9.0,9.0,9.0,9.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,5.0,10.0,10.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15.0,5.0,10.0,1.0,1.0,1.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,5,10,10,12,12,12,7,7,7,7,8,8,8,8,8,7,7,7,7,7,8,8,15,15,15,15,15,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,11.0,12.0,12.0,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,15.0,15.0,15.0,4.0,4.0,0.0,0.0,2.0,15.0,15.0,3.0,3.0,13.0,13.0,13.0,13.0,13.0,9.0,9.0,9.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,9.0,0.0,0.0,15.0,5.0,10.0,10.0,10.0,12.0,12.0,12.0,12.0,12.0,7.0,7.0,7.0,7.0,0.0,0.0,4.0,4.0,4.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,6,6,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,6,9,9,9,9,9,9,9,9,9,9,9,9,9,9,4,4,11,11,12,0,0,0,0,0,0,0,0,0.0,2.0,2.0,5.0,11.0,12.0,12.0,12.0,12.0,7.0,7.0,7.0,7.0,7.0,4.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,13.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,5,5,10,10,10,12,12,12,12,7,7,7,7,7,7,7,7,7,7,3,3,9,9,9,9,9,2,2,2,2,1,1,1,13,13,13,13,13,13,13,13,13,13,13,0,0,0,5,10,10,10,14,14.0,14.0,14.0,14.0,14.0,15.0,15.0,15.0,15.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.0,13.0,13.0,13.0,13.0,13.0,3.0,5.0,5.0,3.0,1.0,1.0,1.0,5.0,5.0,10.0,11.0,12.0,12.0,12.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,15.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,11,12,0,0,3,1,1,1,13,13,13,3,5,5,11,11,12,12,12,8,8,8,8,8,8,8,8,8,15,15,3,9,9,0,0,0,0,2,2,2,2,2,2,2,2,3,3,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,13.0,13.0,13.0,13.0,13.0,5.0,11.0,12.0,12.0,12.0,12.0,0.0,0.0,7.0,7.0,8.0,0.0,0.0,0.0,2.0,2.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,5,10,12,12,12,12,12,12,12,12,12,12,12,12,8,8,8,8,8,8,8,7,7,7,7,7,4,4,4,4,4,4,4,4,4,4,4,4,3,1,1,15,15,15,5,10,1,13,13,13,13,13.0,0.0,15.0,6.0,11.0,7.0,8.0,15.0,15.0,5.0,11.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,15.0,15.0,15.0,15.0,4.0,7.0,7.0,7.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,11.0,14.0,14.0,14.0,15.0,15.0,5.0,3.0,3.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,15,3,1,1,1,1,1,1,1,1,1,1,6,11,6,15,15,15,15,15,5,10,10,12,12,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,15,15,15,5,10,1,1,1,1,1,6,6,6.0,6.0,6.0,6.0,9.0,9.0,9.0,9.0,9.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,11.0,11.0,12.0,0.0,0.0,0.0,2.0,2.0,2.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,13.0,13.0,13.0,13.0,5.0,5.0,11.0,12.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,10.0,13.0,13.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,5,10,10,11,12,7,7,7,7,7,7,7,7,7,7,7,4,4,4,4,4,4,4,4,4,4,7,7,4,4,4,4,4,7,7,4,3,1,1,1,1,1,1,1,1,1,6,3,3,3,3,3,3.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,3.0,3.0,5.0,10.0,10.0,12.0,12.0,12.0,12.0,0.0,8.0,8.0,8.0,8.0,8.0,8.0,5.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,2.0,0.0,0.0,0.0,13.0,13.0,13.0,13.0,13.0,9.0,15.0,15.0,15.0,3.0,3.0,13.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,15,3,15,15,6,6,15,15,15,15,15,6,6,6,15,15,15,15,15,6,6,9,2,2,2,13,13,13,3,3,3,1,1,1,1,1,1,1,5,11,12,12,12,12,0,8,8,8,8,8,15,15,6,11.0,11.0,12.0,0.0,0.0,0.0,4.0,4.0,3.0,3.0,3.0,3.0,13.0,13.0,13.0,1.0,13.0,1.0,1.0,1.0,1.0,13.0,13.0,3.0,3.0,3.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,5.0,5.0,10.0,10.0,10.0,10.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,6.0,5.0,11.0,9.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,9,9,9,15,15,15,15,15,15,15,15,15,15,15,1,13,13,9,9,9,0,0,5,10,10,10,10,10,12,12,14,14,14,7,7,8,8,8,8,8.0,8.0,8.0,8.0,7.0,7.0,7.0,4.0,4.0,4.0,4.0,3.0,9.0,9.0,9.0,0.0,0.0,0.0,2.0,15.0,15.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,7.0,7.0,4.0,4.0,4.0,3.0,3.0,3.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,11.0,4.0,4.0,15.0,15.0,15.0,6.0,9.0,9.0,12.0,0.0,4.0,3.0,3.0,3.0,3.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,0.0,0.0,2.0,2.0,13.0,13.0,13.0,13.0,9.0,9.0,9.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,8,3,3,3,15,15,15,15,15,1,1,1,1,1,1,1,1,5,5,10,10,12,12,12,12,12,12,0,8,8,8,7,7,7,7,7,7,7,7,7,7,7,3,3,3,9,9,9,9,9,9,9,2.0,2.0,2.0,3.0,3.0,3.0,2.0,15.0,15.0,5.0,5.0,10.0,10.0,12.0,12.0,14.0,14.0,14.0,0.0,0.0,0.0,8.0,8.0,7.0,7.0,3.0,15.0,15.0,15.0,15.0,15.0,3.0,3.0,9.0,9.0,9.0,2.0,2.0,2.0,15.0,15.0,15.0,15.0,1.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,5.0,10.0,10.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,13,13,13,13,13,0,0,0,2,15,6,6,6,6,9,0,0,2,2,2,2,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,13.0,9.0,9.0,9.0,2.0,2.0,10.0,10.0,10.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,4.0,4.0,5.0,5.0,11.0,12.0,12.0,12.0,12.0,8.0,8.0,7.0,0.0,0.0,0.0,2.0,2.0,15.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,15,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,11,11,12,12,12,12,12,12,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,8,8,8.0,8.0,15.0,5.0,11.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,4.0,4.0,7.0,7.0,7.0,7.0,7.0,7.0,4.0,4.0,4.0,7.0,7.0,7.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,13.0,13.0,1.0,1.0,1.0,1.0,1.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,1.0,1.0,1.0,5.0,10.0,10.0,12.0,12.0,12.0,12.0,12.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,
15,15,3,3,9,9,2,2,2,2,15,15,5,10,10,10,14,14,14,14,14,14,14,6,6,6,6,6,11,11,3,3,11,11,12,0,0,0,0,0,2,12,8,8,8,8,15,15,15,15,7,7,7,4,4.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,3.0,3.0,3.0,3.0,1.0,13.0,13.0,13.0,1.0,1.0,1.0,1.0,11.0,9.0,9.0,9.0,0.0,0.0,13.0,13.0,13.0,13.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0,5,11,12,12,12,8,8,8,8,8,8,8,7,0,0,2,2,2,11,7,4,4,3,3,15,15,15,15,15,15,15,15,15,15,15,15,15,4,4,2,2,2,2,13,13,13,0,0,0,0,5,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15.0,15.0,5.0,11.0,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,6.0,6.0,5.0,11.0,11.0,12.0,0.0,15.0,15.0,15.0,5.0,11.0,11.0,12.0,0.0,0.0,0.0,4.0,15.0,6.0,11.0,12.0,0.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,5,5,10,10,14,14,14,14,14,8,8,8,8,8,7,7,4,15,15,4,3,5,10,10,14,14,13,3,3,3,3,9,15,15,15,15,1,1,1,1,1,1,1,1,1,6,6,6,3,3,3,15,15,15.0,15.0,15.0,6.0,13.0,13.0,13.0,15.0,15.0,15.0,13.0,15.0,15.0,15.0,15.0,6.0,9.0,3.0,3.0,15.0,15.0,15.0,1.0,1.0,5.0,11.0,0.0,2.0,2.0,15.0,5.0,10.0,10.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,13,13,9,9,9,9,2,2,2,2,2,2,2,2,2,2,0,2,2,10,10,13,13,13,13,13,13,15,15,15,9,2,2,2,2,5,10,10,1,1,1,1,1,1,1,1,1,1,5,11,11,12,7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,15.0,3.0,3.0,9.0,9.0,9.0,9.0,9.0,9.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,5.0,11.0,12.0,12.0,0.0,0.0,8.0,8.0,15.0,15.0,15.0,6.0,9.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,0.0,0.0,8.0,8.0,15.0,15.0,6.0,11.0,11.0,4.0,4.0,0.0,0.0,4.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,3,3,3,1,1,1,1,1,1,1,1,1,1,1,5,10,1,6,6,6,6,8,8,8,8,8,8,15,6,11,11,11,11,11,7,7,7,7,7,7,7,7,7,7,7,7,7,4,4,4,15,15,15.0,3.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,1.0,1.0,1.0,6.0,11.0,3.0,3.0,9.0,9.0,9.0,4.0,4.0,4.0,0.0,0.0,0.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,11.0,11.0,13.0,13.0,13.0,13.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,15,15,3,1,1,1,1,1,6,6,9,9,2,2,2,2,2,2,2,2,2,2,2,10,1,1,1,13,13,13,0,0,2,2,2,2,2,2,2,2,2,2,5,10,10,1,1,1,1,1,1,1,1,5.0,10.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,8.0,8.0,8.0,8.0,15.0,6.0,11.0,7.0,7.0,8.0,8.0,8.0,15.0,15.0,3.0,3.0,9.0,9.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,11.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,13.0,13.0,13.0,13.0,9.0,9.0,9.0,9.0,11.0,12.0,12.0,12.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,13,3,3,3,9,2,12,12,7,7,0,0,2,2,2,3,3,3,13,13,13,13,1,1,3,13,13,13,13,13,13,13,5,10,1,1,1,1,15,15,5,11,11,12,12,12,7,7,7,7,7,7,7,7.0,7.0,0.0,0.0,8.0,7.0,7.0,7.0,7.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,11.0,7.0,0.0,0.0,8.0,7.0,7.0,7.0,8.0,15.0,15.0,3.0,3.0,1.0,1.0,1.0,1.0,13.0,13.0,13.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,5,10,10,10,12,12,14,8,8,4,4,4,4,4,7,7,15,15,15,15,9,9,2,2,2,2,5,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,11,12,12,0,0,0,0,0,0,15.0,15.0,1.0,1.0,1.0,1.0,6.0,6.0,13.0,13.0,13.0,13.0,15.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,5.0,5.0,10.0,10.0,12.0,14.0,14.0,14.0,14.0,8.0,8.0,8.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,3,1,1,1,1,1,1,1,1,1,6,11,9,9,9,9,0,0,0,0,0,0,2,2,12,12,12,0,0,0,0,2,2,2,3,3,3,1,13,13,13,13,13,13,13,13,13,13,3,3,15,15.0,15.0,15.0,5.0,5.0,5.0,10.0,10.0,12.0,12.0,12.0,12.0,8.0,8.0,8.0,8.0,8.0,8.0,6.0,5.0,10.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,6.0,11.0,11.0,7.0,0.0,0.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,15,5,10,10,1,1,1,1,1,1,1,1,6,6,1,1,1,1,1,1,6,6,11,12,12,12,12,0,0,0,2,2,2,2,2,4,7,7,4,4,4,4,3,3,3,3,13,13,13,13,13,13,13,13.0,3.0,3.0,3.0,5.0,11.0,11.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,11.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,5,10,10,10,14,14,14,14,14,14,14,14,14,14,6,6,11,9,9,11,12,8,7,7,7,7,4,3,3,3,1,1,1,1,1,1,1,1,1,1,1,3,3,13,5,10,10,12,12,12,14,14,14.0,14.0,15.0,15.0,15.0,6.0,6.0,15.0,15.0,6.0,6.0,6.0,6.0,6.0,9.0,9.0,2.0,15.0,15.0,15.0,15.0,15.0,15.0,1.0,1.0,13.0,13.0,13.0,13.0,3.0,9.0,9.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,5.0,5.0,10.0,10.0,10.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,0.0,0.0,15.0,15.0,15.0,6.0,9.0,15.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,4,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,11,12,12,12,12,8,8,8,8,8,15,6,11,12,8,15,15,15,15,6,15,3,9,9,9,9.0,9.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,10.0,10.0,10.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,6.0,9.0,3.0,3.0,5.0,3.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,0.0,0.0,3.0,3.0,3.0,13.0,13.0,1.0,1.0,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,15,5,11,12,12,12,8,8,8,8,0,0,2,2,2,2,2,4,4,4,9,2,2,2,0,0,15,15,1,1,1,15,3,3,1,1,1,1,1,1,1,1,6,6,6,6,6,6,13,13,13,13,13,15.0,15.0,15.0,5.0,5.0,10.0,10.0,12.0,12.0,12.0,0.0,0.0,8.0,8.0,8.0,8.0,15.0,5.0,10.0,12.0,12.0,12.0,8.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,7.0,7.0,4.0,4.0,4.0,4.0,4.0,11.0,7.0,7.0,4.0,3.0,3.0,3.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,15.0,15.0,1.0,1.0,1.0,13.0,13.0,3.0,3.0,15.0,5.0,5.0,10.0,10.0,10.0,10.0,12.0,12.0,12.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,3.0,15.0,15.0,15.0,15.0,15.0,,,,,,,,,,,,
15,15,15,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,6,6,6,13,15,15,15,6,6,6,9,9,9,2,2,2,2,2,13,5,5,11,12,12,12,8,8,8,0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,5.0,10.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,11.0,12.0,8.0,8.0,8.0,8.0,15.0,15.0,6.0,6.0,6.0,6.0,11.0,12.0,7.0,7.0,3.0,3.0,3.0,3.0,9.0,9.0,13.0,13.0,13.0,13.0,9.0,9.0,9.0,15.0,15.0,3.0,3.0,15.0,15.0,15.0,15.0,15.0,5.0,10.0,10.0,1.0,1.0,1.0,1.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12,5,10,10,10,10,10,14,14,14,14,14,14,14,14,14,15,15,15,15,15,15,15,6,6,6,15,15,3,3,1,1,1,1,1,1,1,1,1,1,1,6,6,9,9,9,9,9,9,9,2,2,2,2.0,15.0,15.0,9.0,9.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,5.0,10.0,10.0,10.0,10.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,9.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,13.0,13.0,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,15,3,3,1,1,1,1,1,1,1,1,1,1,13,13,13,9,9,2,2,2,12,12,0,0,0,15,15,1,1,5,5,10,10,10,14,14,14,14,14,14,14,8,8,7,4,15,15,6,6,9,4,4,4.0,4.0,4.0,4.0,5.0,10.0,10.0,1.0,1.0,1.0,1.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,6.0,6.0,6.0,9.0,15.0,15.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,11.0,11.0,12.0,12.0,12.0,0.0,0.0,0.0,3.0,13.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,5,11,12,7,7,7,0,0,2,4,4,4,4,3,3,3,3,3,13,13,13,13,13,13,13,5,11,11,12,12,7,7,7,7,7,7,0,0,4,4,7,7,4,4,4,4,4,4,4,4,4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,15.0,15.0,15.0,9.0,9.0,7.0,7.0,4.0,4.0,4.0,4.0,5.0,10.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,4.0,3.0,3.0,9.0,9.0,9.0,4.0,3.0,15.0,15.0,15.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,15,15,15,9,9,15,15,15,15,15,15,15,9,9,9,2,0,0,0,0,15,15,15,1,5,5,10,10,14,14,14,14,14,14,14,14,14,14,14,14,8,8,15,15,15,15,15,15,15,6,6,9,9,12.0,12.0,0.0,0.0,2.0,15.0,15.0,6.0,11.0,12.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,5.0,5.0,10.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,3.0,3.0,3.0,9.0,9.0,12.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,6,6,9,9,9,9,2,2,2,2,2,2,2,2,2,5,10,1,3,9,9,2,2,11,0,0,5,10,10,12,12,12,0,0,8,8,8,8,15,5,3,3,3,1,1,1,1,13,13,13,13,3,3.0,9.0,9.0,9.0,12.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,11.0,11.0,11.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,3.0,3.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,3.0,3.0,3.0,1.0,13.0,13.0,5.0,5.0,10.0,10.0,10.0,10.0,10.0,12.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,11.0,11.0,3.0,15.0,15.0,15.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,5,10,10,10,10,14,14,14,14,14,14,14,8,8,8,8,15,6,3,3,6,6,9,9,2,2,2,2,2,2,2,2,2,2,2,2,2,15,1,13,13,3,3,1,1,1,1,5,10,10,10,12,8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,7.0,11.0,7.0,7.0,7.0,7.0,7.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,9.0,9.0,9.0,2.0,2.0,2.0,15.0,15.0,15.0,15.0,15.0,5.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,13.0,13.0,13.0,13.0,9.0,9.0,15.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,5,5,10,10,10,10,10,12,12,12,12,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,4,7,7,7,7,7,7,4,4,3,3,13,9,9,4,4,4,4,4,4,4,4,4,4,4,4.0,4.0,4.0,4.0,4.0,4.0,11.0,11.0,11.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,5.0,11.0,12.0,12.0,13.0,13.0,13.0,15.0,15.0,15.0,5.0,10.0,10.0,1.0,1.0,1.0,15.0,15.0,3.0,9.0,9.0,9.0,9.0,9.0,9.0,0.0,0.0,0.0,13.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,10.0,10.0,10.0,10.0,14.0,14.0,14.0,14.0,8.0,8.0,8.0,8.0,7.0,0.0,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2,10,10,11,11,12,12,12,12,0,11,7,0,0,2,2,2,5,10,14,14,14,14,14,14,14,14,15,15,15,15,15,15,15,15,15,6,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0,13.0,13.0,13.0,13.0,13.0,13.0,15.0,5.0,1.0,1.0,1.0,1.0,13.0,13.0,13.0,13.0,13.0,5.0,11.0,12.0,0.0,0.0,0.0,0.0,2.0,12.0,12.0,8.0,15.0,15.0,15.0,5.0,10.0,10.0,12.0,12.0,12.0,12.0,7.0,7.0,7.0,7.0,7.0,7.0,4.0,4.0,4.0,4.0,15.0,15.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
